﻿MP's name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Start-up spend,Remaining start-up budget,Wind-up maximum budget available,Reason for budget set,Wind-up spend,Remaining wind-up budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence maximum budget available,Travel and subsistence spend,Other costs maximum budget available,Other costs spend,Subtotal of other parliamentary costs,Overall total spend for this financial year,pID
Conor Murphy,Newry and Armagh,,,10679.53,,,,122495.16,,,,0,,,,0,,133174.69,,,0,,uncapped,2309.09,uncapped,0,2309.09,135483.78,1595
Craig Whittaker,Calder Valley CC,,,13674.1,,,,129978.71,,,,0,,,,0,,143652.81,,,19275.34,,uncapped,8181.81,uncapped,0,27457.15,171109.96,3940
Crispin Blunt,Reigate BC,,,22096.18,,,,74854.43,,,,0,,,,0,,96950.61,,,0,,uncapped,2773.25,uncapped,0,2773.25,99723.86,104
Dai Havard,Merthyr Tydfil and Rhymney CC,,,21313.86,,,,120883.87,,,,0,,,,0,,142197.73,,,19971.06,,uncapped,5458.77,uncapped,0,25429.83,167627.56,1430
Damian Collins,Folkestone and Hythe CC,,,12726.07,,,,118493.77,,,,0,,,,0,,131219.84,,,23850,,uncapped,5209.04,uncapped,0,29059.04,160278.88,3986
Damian Green,Ashford CC,,,11405.96,,,,103211.36,,,,0,,,,0,,114617.32,,,0,,uncapped,692.3,uncapped,0,692.3,115309.62,76
Damian Hinds,East Hampshire CC,,,3842.08,,,,79228.68,,,,0,,,,0,,83070.76,,,6268.51,,uncapped,3139.8,uncapped,0,9408.31,92479.07,3969
Dan Jarvis,Barnsley Central BC,,,19941.72,,,,135956.56,,,,0,,,,0,,155898.28,,,23437.09,,uncapped,9260.42,uncapped,0,32697.51,188595.79,4243
Dan Rogerson,North Cornwall CC,,,13852.43,,,,106146.57,,,,0,,,,0,,119999,,,13638,,uncapped,9510.76,uncapped,0,23148.76,143147.76,1504
Daniel Byles,North Warwickshire CC,,,13586.52,,,,114164.97,,,,0,,,,0,,127751.49,,,24243.29,,uncapped,10496.56,uncapped,0,34739.85,162491.34,4112
Daniel Kawczynski,Shrewsbury and Atcham CC,,,19912.83,,,,131593.79,,,,0,,,,0,,151506.62,,,29033.16,,uncapped,12791.69,uncapped,0,41824.85,193331.47,1566
Daniel Poulter,Central Suffolk and North Ipswich CC,,,14866.46,,,,127173.63,,,,0,,,,0,,142040.09,,,21352.5,,uncapped,11033.01,uncapped,0,32385.51,174425.6,3932
Danny Alexander,"Inverness, Nairn, Badenoch and Strathspey CC",,,21766.49,,,,133856.58,,,,0,,,,0,,155623.07,,,0,,uncapped,25156.26,uncapped,0,25156.26,180779.33,1535
Dave Watts,St Helens North BC,,,16102.46,,,,106061.64,,,,0,,,,0,,122164.1,,,3042.28,,uncapped,6097.6,uncapped,0,9139.88,131303.98,489
David Amess,Southend West BC,,,18398.91,,,,97767.62,,,,0,,,,0,,116166.53,,,19956.53,,uncapped,5105.83,uncapped,0,25062.36,141228.89,44
David Anderson,Blaydon BC,,,15433.91,,,,133760.82,,,,0,,,,0,,149194.73,,,17345.23,,uncapped,11259.47,uncapped,0,28604.7,177799.43,1486
David Blunkett,"Sheffield, Brightside and Hillsborough BC",,,22200,,,,128068.18,,,,0,,,,0,,150268.18,,,13374.9,,uncapped,868.95,uncapped,0,14243.85,164512.03,395
David Burrowes,"Enfield, Southgate BC",,,13917.4,,,,127469.52,,,,0,,,,0,,141386.92,,,0,,uncapped,0,uncapped,0,0,141386.92,1518
David Cameron,Witney CC,,,2005.5,,,,119701.01,,,,0,,,,0,,121706.51,,,0,,uncapped,282.25,uncapped,0,282.25,121988.76,1467
David Crausby,Bolton North East BC,,,15782.73,,,,104467.56,,,,0,,,,0,,120250.29,,,19973.17,,uncapped,8998.77,uncapped,0,28971.94,149222.23,437
David Davies,Monmouth CC,,,19256.66,,,,97156.38,,,,0,,,,0,,116413.04,,,16661.17,,uncapped,9217.42,uncapped,0,25878.59,142291.63,1545
David Davis,Haltemprice and Howden CC,,,19311.55,,,,121656,,,,0,,,,0,,140967.55,,,18890.51,,uncapped,5704.69,uncapped,0,24595.2,165562.75,373
David Evennett,Bexleyheath and Crayford BC,,,8801.6,,,,119723,,,,0,,,,0,,128524.6,,,0,,uncapped,727.3,uncapped,0,727.3,129251.9,1198
David Gauke,South West Hertfordshire CC,,,8205.91,,,,108456.4,,,,0,,,,0,,116662.31,,,3253.66,,uncapped,344.7,uncapped,0,3598.36,120260.67,1529
David Hamilton,Midlothian CC,,,18199.91,,,,82773.7,,,,0,,,,0,,100973.61,,,21515.76,,uncapped,15427.7,uncapped,0,36943.46,137917.07,1432
David Hanson,Delyn CC,,,14416.84,,,,113696.1,,,,0,,,,0,,128112.94,,,22399.86,,uncapped,9943.14,uncapped,0,32343,160455.94,533
David Heath,Somerton and Frome CC,,,18461.78,,,,106657.13,,,,0,,,,0,,125118.91,,,19043.91,,uncapped,6349.9,uncapped,0,25393.81,150512.72,255
