﻿MP's name,Constituency,Reason for budget set,Office spend,Remaining office budget,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Start-up spend,Remaining start-up budget,Wind-up maximum budget available,Reason for budget set,Wind-up spend,Remaining wind-up budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence maximum budget available,Travel and subsistence spend,Other costs maximum budget available,Other costs spend,Subtotal of other parliamentary costs,Overall total spend for this financial year,pID
Chris Pincher,Tamworth CC,,10806.76,,,,107260.53,,,,0,,,,0,,118067.29,,,5581.41,,uncapped,5970.63,uncapped,0,11552.04,129619.33,4075
Chris Ruane,Vale of Clwyd CC,,17707.08,,,,114392.87,,,,0,,,,0,,132099.95,,,24025.7,,uncapped,7742.97,uncapped,0,31768.67,163868.62,534
Chris Skidmore,Kingswood BC,,12606.9,,,,112872.79,,,,0,,,,0,,125479.69,,,17924.48,,uncapped,539.35,uncapped,0,18463.83,143943.52,4021
Chris White,Warwick and Leamington BC,,14371.47,,,,100857.08,,,,0,,,,0,,115228.55,,,19335.54,,uncapped,2845.5,uncapped,0,22181.04,137409.59,4114
Chris Williamson,Derby North BC,,25850.3,,,,112818.4,,,,0,,,,0,,138668.7,,,21151.22,,uncapped,10407.42,uncapped,0,31558.64,170227.34,3976
Christopher Chope,Christchurch CC,,17084.85,,,,74664.34,,,,0,,,,0,,91749.19,,,3856.6,,uncapped,7244.05,uncapped,0,11100.65,102849.84,242
Christopher Leslie,Nottingham East BC,,15622.24,,,,113726.27,,,,0,,,,0,,129348.51,,,9785.48,,uncapped,5661.93,uncapped,0,15447.41,144795.92,422
Chuka Umunna,Streatham BC,,20682.86,,,,137030.77,,,,0,,,,0,,157713.63,,,0,,uncapped,536.75,uncapped,305.06,841.81,158555.44,4128
Claire Perry,Devizes CC,,20054.06,,,,117626.8,,,,0,,,,0,,137680.86,,,0,,uncapped,953,uncapped,0,953,138633.86,3974
Clive Betts,Sheffield South East BC,,18640.22,,,,118566.35,,,,0,,,,0,,137206.57,,,19893.48,,uncapped,10002.1,uncapped,112.5,30008.08,167214.65,394
Clive Efford,Eltham BC,,19024.76,,,,132028.75,,,,0,,,,0,,151053.51,,,0,,uncapped,441.75,uncapped,580.3,1022.05,152075.56,165
Conor Burns,Bournemouth West BC,,8013.26,,,,95559.42,,,,0,,,,0,,103572.68,,,17745,,uncapped,4017.1,uncapped,149.4,21911.5,125484.18,3922
Conor Murphy,Newry and Armagh,,7620.43,,,,123322.35,,,,0,,,,0,,130942.78,,,0,,uncapped,679.36,uncapped,0,679.36,131622.14,1595
Craig Whittaker,Calder Valley CC,,15206.33,,,,108454.41,,,,0,,,,0,,123660.74,,,18650.67,,uncapped,4450.13,uncapped,0,23100.8,146761.54,3940
Crispin Blunt,Reigate BC,,18873.6,,,,88898.52,,,,0,,,,0,,107772.12,,,0,,uncapped,958.4,uncapped,0,958.4,108730.52,104
Dai Havard,Merthyr Tydfil and Rhymney CC,,13785.51,,,,109765.87,,,,0,,,,0,,123551.38,,,19900,,uncapped,5928.29,uncapped,0,25828.29,149379.67,1430
Damian Collins,Folkestone and Hythe CC,,19643.69,,,,108120.84,,,,0,,,,0,,127764.53,,,23085.41,,uncapped,2791.7,uncapped,0,25877.11,153641.64,3986
Damian Green,Ashford CC,,6494.75,,,,98597.16,,,,0,,,,0,,105091.91,,,0,,uncapped,821.8,uncapped,0,821.8,105913.71,76
