﻿MP's name,Constituency,Reason for budget set,Office spend,Remaining office budget,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Start-up spend,Remaining start-up budget,Wind-up maximum budget available,Reason for budget set,Wind-up spend,Remaining wind-up budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence maximum budget available,Travel and subsistence spend,Other costs maximum budget available,Other costs spend,Subtotal of other parliamentary costs,Overall total spend for this financial year,pID
Neil Parish,Tiverton and Honiton CC,,4730.6,,,,100556.27,,,,0,,,,0,,105286.87,,,19277.7,,uncapped,5996.75,uncapped,0,25274.45,130561.32,4072
Nia Griffith,Llanelli CC,,15485.99,,,,138862.03,,,,0,,,,0,,154348.02,,,0,,uncapped,9472.15,uncapped,0,9472.15,163820.17,1541
Nic Dakin,Scunthorpe CC,,18512.68,,,,107415.27,,,,0,,,,0,,125927.95,,,19854.98,,uncapped,9397.5,uncapped,89.89,29342.37,155270.32,4056
Nicholas Brown,Newcastle upon Tyne East BC,,14470.19,,,,127539.93,,,,0,,,,0,,142010.12,,,3630.85,,uncapped,7349.5,uncapped,0,10980.35,152990.47,523
Nicholas Soames,Mid Sussex CC,,12387.48,,,,98778.87,,,,0,,,,0,,111166.35,,,1985.32,,uncapped,2135.03,uncapped,0,4120.35,115286.7,116
Nick Boles,Grantham and Stamford CC,,7885.7,,,,111151.74,,,,0,,,,0,,119037.44,,,9791.54,,uncapped,4754.61,uncapped,17.9,14564.05,133601.49,3995
Nick Clegg,"Sheffield, Hallam CC",,15587.04,,,,120059.39,,,,0,,,,0,,135646.43,,,10228.24,,uncapped,1688.45,uncapped,0,11916.69,147563.12,1563
Nick de Bois,Enfield North BC,,20694.65,,,,119473.57,,,,0,,,,0,,140168.22,,,0,,uncapped,822.49,uncapped,0,822.49,140990.71,4002
Nick Gibb,Bognor Regis and Littlehampton CC,,20964.46,,,,87327.83,,,,0,,,,0,,108292.29,,,0,,uncapped,4321.62,uncapped,0,4321.62,112613.91,111
Nick Harvey,North Devon CC,,17800.36,,,,115535,,,,0,,,,0,,133335.36,,,19965.68,,uncapped,11225.1,uncapped,0,31190.78,164526.14,231
Nick Herbert,Arundel and South Downs CC,,9930.38,,,,115073.87,,,,0,,,,0,,125004.25,,,0,,uncapped,2359.5,uncapped,0,2359.5,127363.75,1479
Nick Hurd,"Ruislip, Northwood and Pinner BC",,9247.58,,,,110698.73,,,,0,,,,0,,119946.31,,,0,,uncapped,0,uncapped,0,0,119946.31,1561
Nick Raynsford,Greenwich and Woolwich BC,,11659.51,,,,102529.17,,,,0,,,,0,,114188.68,,,0,,uncapped,10.6,uncapped,480.56,491.16,114679.84,171
Nick Smith,Blaenau Gwent CC,,19641.39,,,,111739.57,,,,0,,,,0,,131380.96,,,1843.06,,uncapped,5544.7,uncapped,0,7387.76,138768.72,3928
Nicky Morgan,Loughborough CC,,14992.91,,,,105568.19,,,,0,,,,0,,120561.1,,,20454.4,,uncapped,7941.53,uncapped,168.4,28564.33,149125.43,4027
Nicola Blackwood,Oxford West and Abingdon CC,,11766,,,,111410.47,,,,0,,,,0,,123176.47,,,14473.84,,uncapped,479,uncapped,0,14952.84,138129.31,4019
Nigel Adams,Selby and Ainsty CC,,12288.29,,,,82321.18,,,,0,,,,0,,94609.47,,,26835.02,,uncapped,8222.32,uncapped,0,35057.34,129666.81,4057
Nigel Dodds,Belfast North,,13409.18,,,,97547.79,,,,0,,,,0,,110956.97,,,14437.07,,uncapped,21257.18,uncapped,0,35694.25,146651.22,1388
Nigel Evans,Ribble Valley CC,,12347.38,,,,111793.29,,,,0,,,,0,,124140.67,,,15355.03,,uncapped,8849.42,uncapped,0,24204.45,148345.12,474
Nigel Mills,Amber Valley CC,,12949.83,,,,83522.67,,,,0,,,,0,,96472.5,,,8871.41,,uncapped,4776.8,uncapped,0,13648.21,110120.71,4136
Norman Baker,Lewes CC,,19028.72,,,,112426.89,,,,0,,,,0,,131455.61,,,19829.93,,uncapped,3861.25,uncapped,0,23691.18,155146.79,28
Norman Lamb,North Norfolk CC,,13552.87,,,,100902.84,,,,0,,,,0,,114455.71,,,7688,,uncapped,5183.72,uncapped,0,12871.72,127327.43,1439
Oliver Colvile,"Plymouth, Sutton and Devonport BC",,15971.28,,,,104086.7,,,,0,,,,0,,120057.98,,,4906.03,,uncapped,8216.53,uncapped,0,13122.56,133180.54,4022
Oliver Heald,North East Hertfordshire CC,,19408.21,,,,107507.02,,,,0,,,,0,,126915.23,,,2988.76,,uncapped,4165.55,uncapped,0,7154.31,134069.54,69
Oliver Letwin,West Dorset CC,,13755.44,,,,110271.57,,,,0,,,,0,,124027.01,,,0,,uncapped,1522.63,uncapped,0,1522.63,125549.64,247
Owen Paterson,North Shropshire CC,,11478.78,,,,122428.81,,,,0,,,,0,,133907.59,,,15014.35,,uncapped,1384.9,uncapped,0,16399.25,150306.84,274
Owen Smith,Pontypridd CC,,18398.73,,,,107235.75,,,,0,,,,0,,125634.48,,,20244.56,,uncapped,8735.75,uncapped,0,28980.31,154614.79,4042
Pamela Nash,Airdrie and Shotts CC,,22996.89,,,,83708.67,,,,0,,,,0,,106705.56,,,18104.42,,uncapped,14326.01,uncapped,7280.4,39710.83,146416.39,3909
Pat Doherty,West Tyrone,,15192,,,,112838.43,,,,0,,,,0,,128030.43,,,0,,uncapped,438.68,uncapped,0,438.68,128469.11,1465
Pat Glass,North West Durham CC,,17879.47,,,,106558.95,,,,0,,,,0,,124438.42,,,16800.4,,uncapped,10605.45,uncapped,0,27405.85,151844.27,4103
Pat McFadden,Wolverhampton South East BC,,21046.29,,,,96000.56,,,,0,,,,0,,117046.85,,,8905.51,,uncapped,5962.74,uncapped,0,14868.25,131915.1,1587
Patrick McLoughlin,Derbyshire Dales CC,,15904.2,,,,104090.6,,,,0,,,,0,,119994.8,,,7377.22,,uncapped,13355.65,uncapped,0,20732.87,140727.67,333
Patrick Mercer,Newark CC,,12532.52,,,,103174.97,,,,0,,,,0,,115707.49,,,4711.85,,uncapped,11495.54,uncapped,0,16207.39,131914.88,1435
Paul Beresford,Mole Valley CC,,8938.43,,,,103969.13,,,,0,,,,0,,112907.56,,,0,,uncapped,2284.5,uncapped,0,2284.5,115192.06,103
Paul Blomfield,Sheffield Central BC,,19858.42,,,,104642.27,,,,0,,,,0,,124500.69,,,19257.38,,uncapped,5409.22,uncapped,0,24666.6,149167.29,4058
Paul Burstow,Sutton and Cheam BC,,21980.38,,,,115366.63,,,,0,,,,0,,137347.01,,,0,,uncapped,8,uncapped,602.43,610.43,137957.44,204
Paul Farrelly,Newcastle-under-Lyme BC,,20501.49,,,,117842.09,,,,0,,,,0,,138343.58,,,6285.3,,uncapped,14766.68,uncapped,0,21051.98,159395.56,1436
Paul Flynn,Newport West CC,,6546.89,,,,106995.26,,,,0,,,,0,,113542.15,,,3782.17,,uncapped,7150.05,uncapped,0,10932.22,124474.37,545
Paul Goggins,Wythenshawe and Sale East BC,,18472.23,,,,109562.57,,,,0,,,,0,,128034.8,,,0,,uncapped,9945.44,uncapped,0,9945.44,137980.24,462
Paul Maskey,Belfast West,,11789.34,,,,80269.45,,,,0,,,,0,,92058.79,,,0,,uncapped,195.96,uncapped,0,195.96,92254.75,4245
Paul Maynard,Blackpool North and Cleveleys BC,,21329.71,,,,116719.18,,,,0,,,,0,,138048.89,,,7807.51,,uncapped,15661.8,uncapped,0,23469.31,161518.2,3926
Paul Murphy,Torfaen CC,,20272.83,,,,115422.59,,,,0,,,,0,,135695.42,,,7984.69,,uncapped,6616.14,uncapped,0,14600.83,150296.25,546
Paul Uppal,Wolverhampton South West BC,,14665.19,,,,108144.34,,,,0,,,,0,,122809.53,,,11321.2,,uncapped,4373.4,uncapped,0,15694.6,138504.13,4078
Pauline Latham,Mid Derbyshire CC,,17315.48,,,,122400.66,,,,0,,,,0,,139716.14,,,9030,,uncapped,8745.4,uncapped,0,17775.4,157491.54,4025
Penny Mordaunt,Portsmouth North BC,,16974.46,,,,108036.75,,,,0,,,,0,,125011.21,,,19755.28,,uncapped,2801.11,uncapped,0,22556.39,147567.6,4017
Pete Wishart,Perth and North Perthshire CC,,19703.46,,,,108997.98,,,,0,,,,0,,128701.44,,,17045.21,,uncapped,20887.28,uncapped,0,37932.49,166633.93,1440
Peter Aldous,Waveney CC,,20647.83,,,,114948.14,,,,0,,,,0,,135595.97,,,17483.24,,uncapped,637.42,uncapped,0,18120.66,153716.63,4069
Peter Bone,Wellingborough CC,,16462.79,,,,114715.77,,,,0,,,,0,,131178.56,,,17385.24,,uncapped,8397.59,uncapped,0,25782.83,156961.39,1581
Peter Bottomley,Worthing West BC,,2135.36,,,,85820.35,,,,0,,,,0,,87955.71,,,0,,uncapped,583.58,uncapped,0,583.58,88539.29,117
Peter Hain,Neath CC,,18091.59,,,,113527.04,,,,0,,,,0,,131618.63,,,13880.47,,uncapped,8871.25,uncapped,437.49,23189.21,154807.84,567
Peter Lilley,Hitchin and Harpenden CC,,14969.64,,,,110054.8,,,,0,,,,0,,125024.44,,,2087.18,,uncapped,900.21,uncapped,0,2987.39,128011.83,68
Peter Luff,Mid Worcestershire CC,,10390.72,,,,99146.97,,,,0,,,,0,,109537.69,,,18618.68,,uncapped,5777.25,uncapped,0,24395.93,133933.62,268
Peter Soulsby,Leicester South BC,,0,,,,0,,,,0,,,,30985.37,,30985.37,,,0,,uncapped,-7.7,uncapped,0,-7.7,30977.67,1592
Peter Tapsell,Louth and Horncastle CC,,12672.56,,,,116530.62,,,,0,,,,0,,129203.18,,,19900,,uncapped,5682.44,uncapped,861.18,26443.62,155646.8,348
Phil Wilson,Sedgefield CC,,25486.59,,,,104454.24,,,,0,,,,0,,129940.83,,,17776.58,,uncapped,16850.15,uncapped,0,34626.73,164567.56,1603
Philip Davies,Shipley CC,,12591.16,,,,110214.63,,,,0,,,,0,,122805.79,,,20623.41,,uncapped,4790.85,uncapped,0,25414.26,148220.05,1565
Philip Dunne,Ludlow CC,,12432.26,,,,101409.99,,,,0,,,,0,,113842.25,,,0,,uncapped,6746,uncapped,0,6746,120588.25,1542
Philip Hammond,Runnymede and Weybridge CC,,4452.23,,,,52811.37,,,,0,,,,0,,57263.6,,,10833.08,,uncapped,240.4,uncapped,0,11073.48,68337.08,105
Philip Hollobone,Kettering CC,,2540.48,,,,0,,,,0,,,,0,,2540.48,,,0,,uncapped,5235.6,uncapped,82.5,5318.1,7858.58,1537
Phillip Lee,Bracknell CC,,20585.38,,,,98996.79,,,,0,,,,0,,119582.17,,,21359.48,,uncapped,2507.23,uncapped,0,23866.71,143448.88,3921
Priti Patel,Witham CC,,8811.01,,,,111550.45,,,,0,,,,0,,120361.46,,,0,,uncapped,5859.49,uncapped,0,5859.49,126220.95,4066
Rachel Reeves,Leeds West BC,,19426.04,,,,114293.58,,,,0,,,,0,,133719.62,,,15615.91,,uncapped,3815.45,uncapped,0,19431.36,153150.98,4031
Rebecca Harris,Castle Point BC,,4525.72,,,,100936.63,,,,0,,,,0,,105462.35,,,0,,uncapped,101.4,uncapped,0,101.4,105563.75,3948
Rehman Chishti,Gillingham and Rainham BC,,7788.04,,,,87031.74,,,,0,,,,0,,94819.78,,,0,,uncapped,4148,uncapped,0,4148,98967.78,3987
Richard Bacon,South Norfolk CC,,16773.14,,,,105449.58,,,,0,,,,0,,122222.72,,,24731.1,,uncapped,6968.21,uncapped,101,31800.31,154023.03,1451
Richard Benyon,Newbury CC,,12497.25,,,,98049.01,,,,0,,,,0,,110546.26,,,0,,uncapped,3333.06,uncapped,0,3333.06,113879.32,1547
Richard Burden,"Birmingham, Northfield BC",,22134.02,,,,109355.25,,,,0,,,,0,,131489.27,,,191.14,,uncapped,3634.58,uncapped,859.25,4684.97,136174.24,301
Richard Drax,South Dorset CC,,12844.91,,,,104998.43,,,,0,,,,0,,117843.34,,,0,,uncapped,3787.4,uncapped,0,3787.4,121630.74,4132
Richard Fuller,Bedford BC,,12310.38,,,,94452.35,,,,0,,,,0,,106762.73,,,19728.69,,uncapped,1808.55,uncapped,0,21537.24,128299.97,3912
Richard Graham,Gloucester BC,,16602.52,,,,98826.97,,,,0,,,,0,,115429.49,,,4800,,uncapped,3261.86,uncapped,0,8061.86,123491.35,3990
Richard Harrington,Watford BC,,8943.57,,,,104488.06,,,,0,,,,0,,113431.63,,,0,,uncapped,0,uncapped,0,0,113431.63,4068
Richard Ottaway,Croydon South BC,,17618.14,,,,108398.43,,,,0,,,,0,,126016.57,,,0,,uncapped,1611.7,uncapped,86.4,1698.1,127714.67,157
Richard Shepherd,Aldridge-Brownhills BC,,9020.55,,,,86832.48,,,,0,,,,0,,95853.03,,,5394.56,,uncapped,4170,uncapped,0,9564.56,105417.59,295
Rob Wilson,Reading East BC,,18553.87,,,,107901.59,,,,0,,,,0,,126455.46,,,0,,uncapped,7703.95,uncapped,0,7703.95,134159.41,1556
Robert Buckland,South Swindon CC,,11115.89,,,,99129.33,,,,0,,,,0,,110245.22,,,12464.05,,uncapped,3164.75,uncapped,0,15628.8,125874.02,4106
Robert Flello,Stoke-on-Trent South BC,,11585.49,,,,89579.78,,,,0,,,,0,,101165.27,,,19139.4,,uncapped,10957.1,uncapped,0,30096.5,131261.77,1569
Robert Goodwill,Scarborough and Whitby CC,,15365.35,,,,108830.4,,,,0,,,,0,,124195.75,,,8596.99,,uncapped,10743.85,uncapped,0,19340.84,143536.59,1562
Robert Halfon,Harlow CC,,14403.66,,,,114935.86,,,,0,,,,0,,129339.52,,,0,,uncapped,8483.78,uncapped,0,8483.78,137823.3,3985
Robert Smith,West Aberdeenshire and Kincardine CC,,14848.33,,,,84368.71,,,,0,,,,0,,99217.04,,,16183.29,,uncapped,15839.93,uncapped,0,32023.22,131240.26,639
Robert Syms,Poole BC,,8361.64,,,,61911.82,,,,0,,,,0,,70273.46,,,24229.72,,uncapped,5949.8,uncapped,0,30179.52,100452.98,245
Robert Walter,North Dorset CC,,16593.86,,,,117713.47,,,,0,,,,0,,134307.33,,,3914.17,,uncapped,7752.03,uncapped,0,11666.2,145973.53,244
Roberta Blackman-Woods,City of Durham CC,,19452.49,,,,106465.79,,,,0,,,,0,,125918.28,,,3837.1,,uncapped,12296.27,uncapped,0,16133.37,142051.65,1501
Robin Walker,Worcester BC,,8426,,,,97589.81,,,,0,,,,0,,106015.81,,,0,,uncapped,4714.1,uncapped,0,4714.1,110729.91,4091
Roger Gale,North Thanet CC,,16382.64,,,,108317.91,,,,0,,,,0,,124700.55,,,5073.72,,uncapped,5629.4,uncapped,66.36,10769.48,135470.03,87
Roger Godsiff,"Birmingham, Hall Green BC",,11341.03,,,,110346.69,,,,0,,,,0,,121687.72,,,0,,uncapped,6026.04,uncapped,0,6026.04,127713.76,304
Roger Williams,Brecon and Radnorshire CC,,12648.76,,,,99048.66,,,,0,,,,0,,111697.42,,,18776.73,,uncapped,7074.16,uncapped,0,25850.89,137548.31,1394
Ronnie Campbell,Blyth Valley BC,,20461.4,,,,108546.73,,,,0,,,,0,,129008.13,,,17465.95,,uncapped,9565,uncapped,0,27030.95,156039.08,514
Rory Stewart,Penrith and The Border CC,,15542.94,,,,108368.11,,,,0,,,,0,,123911.05,,,7498.31,,uncapped,9618.5,uncapped,0,17116.81,141027.86,4137
Rosie Cooper,West Lancashire CC,,16666.65,,,,89983.38,,,,0,,,,0,,106650.03,,,4957.98,,uncapped,6457.35,uncapped,0,11415.33,118065.36,1538
Rosie Winterton,Doncaster Central BC,,20749.44,,,,104812.53,,,,0,,,,0,,125561.97,,,5759.48,,uncapped,12587.18,uncapped,0,18346.66,143908.63,390
Rushanara Ali,Bethnal Green and Bow BC,,24519.69,,,,116277.14,,,,0,,,,0,,140796.83,,,0,,uncapped,0,uncapped,0,0,140796.83,4138
Russell Brown,Dumfries and Galloway CC,,19840.29,,,,108249.06,,,,0,,,,0,,128089.35,,,17635.62,,uncapped,11638,uncapped,0,29273.62,157362.97,588
Sadiq Khan,Tooting BC,,16225.83,,,,121951.03,,,,0,,,,0,,138176.86,,,0,,uncapped,124,uncapped,0,124,138300.86,1577
Sajid Javid,Bromsgrove CC,,15500.92,,,,112488.48,,,,0,,,,0,,127989.4,,,0,,uncapped,4116.4,uncapped,0,4116.4,132105.8,3945
Sam Gyimah,East Surrey CC,,11095.37,,,,113600.42,,,,0,,,,0,,124695.79,,,0,,uncapped,763.64,uncapped,0,763.64,125459.43,3980
Sammy Wilson,East Antrim,,8413,,,,106123.75,,,,0,,,,0,,114536.75,,,11464.48,,uncapped,16898.83,uncapped,0,28363.31,142900.06,1593
Sandra Osborne,"Ayr, Carrick and Cumnock CC",,18818.04,,,,131801.96,,,,0,,,,0,,150620,,,17379.34,,uncapped,10309.53,uncapped,0,27688.87,178308.87,576
Sarah Newton,Truro and Falmouth CC,,16682.24,,,,99324.53,,,,0,,,,0,,116006.77,,,0,,uncapped,1305.6,uncapped,0,1305.6,117312.37,4071
Sarah Teather,Brent Central BC,,22056.85,,,,112783.07,,,,0,,,,0,,134839.92,,,0,,uncapped,0,uncapped,110.16,110.16,134950.08,1170
Sarah Wollaston,Totnes CC,,8538.6,,,,104796.83,,,,0,,,,0,,113335.43,,,19444.23,,uncapped,9688.71,uncapped,446.55,29579.49,142914.92,4073
Seema Malhotra,Feltham and Heston BC,,615.27,,,,16673.02,,,,0,,,,0,,17288.29,,,0,,uncapped,0,uncapped,0,0,17288.29,4253
Shabana Mahmood,"Birmingham, Ladywood BC",,14003.23,,,,101420.27,,,,0,,,,0,,115423.5,,,10943.54,,uncapped,132.9,uncapped,0,11076.44,126499.94,3914
Shailesh Vara,North West Cambridgeshire CC,,9783.84,,,,72840.67,,,,0,,,,0,,82624.51,,,0,,uncapped,3129.25,uncapped,0,3129.25,85753.76,1496
Sharon Hodgson,Washington and Sunderland West BC,,22616.84,,,,114964.86,,,,0,,,,0,,137581.7,,,19746.9,,uncapped,13777.98,uncapped,0,33524.88,171106.58,1521
Shaun Woodward,St Helens South and Whiston BC,,15340.58,,,,136722.8,,,,0,,,,0,,152063.38,,,0,,uncapped,3510.34,uncapped,0,3510.34,155573.72,98
Sheila Gilmore,Edinburgh East BC,,18370.44,,,,105354.49,,,,0,,,,0,,123724.93,,,18818.02,,uncapped,4268.76,uncapped,0,23086.78,146811.71,3965
Sheryll Murray,South East Cornwall CC,,9769.33,,,,95678.24,,,,0,,,,0,,105447.57,,,19853.73,,uncapped,12079.38,uncapped,0,31933.11,137380.68,4100
Siân James,Swansea East BC,,20074.65,,,,110662.8,,,,0,,,,0,,130737.45,,,2361.03,,uncapped,6971.99,uncapped,5831.28,15164.3,145901.75,1573
Simon Burns,Chelmsford BC,,10431.87,,,,97628.57,,,,0,,,,0,,108060.44,,,3215.1,,uncapped,767.95,uncapped,0,3983.05,112043.49,46
Simon Danczuk,Rochdale CC,,23752.61,,,,109104.32,,,,0,,,,0,,132856.93,,,23804.69,,uncapped,11584.55,uncapped,0,35389.24,168246.17,4059
Simon Hart,Carmarthen West and South Pembrokeshire CC,,18591.66,,,,104616.44,,,,0,,,,0,,123208.1,,,21487.69,,uncapped,14119.25,uncapped,77.71,35684.65,158892.75,3944
Simon Hughes,Bermondsey and Old Southwark BC,,18608.15,,,,120092.7,,,,0,,,,0,,138700.85,,,0,,uncapped,1457.1,uncapped,0,1457.1,140157.95,194
Simon Kirby,"Brighton, Kemptown BC",,18918.63,,,,103452.31,,,,0,,,,0,,122370.94,,,22416.3,,uncapped,1881.85,uncapped,0,24298.15,146669.09,3929
Simon Reevell,Dewsbury CC,,9263.22,,,,114196.76,,,,0,,,,0,,123459.98,,,16321.38,,uncapped,8322.24,uncapped,0,24643.62,148103.6,3978
Simon Wright,Norwich South BC,,12236.17,,,,99596.63,,,,0,,,,0,,111832.8,,,16394.3,,uncapped,2238,uncapped,45.7,18678,130510.8,4096
Siobhain McDonagh,Mitcham and Morden BC,,19794.03,,,,126406.55,,,,0,,,,0,,146200.58,,,0,,uncapped,503.15,uncapped,0,503.15,146703.73,193
Stella Creasy,Walthamstow BC,,17476.52,,,,138975.87,,,,0,,,,0,,156452.39,,,0,,uncapped,473.7,uncapped,0,473.7,156926.09,4088
Stephen Barclay,North East Cambridgeshire CC,,20446.32,,,,112349.62,,,,0,,,,0,,132795.94,,,23195.52,,uncapped,5712.7,uncapped,0,28908.22,161704.16,4095
Stephen Crabb,Preseli Pembrokeshire CC,,18708.15,,,,100630.43,,,,0,,,,0,,119338.58,,,14891.92,,uncapped,14101.86,uncapped,0,28993.78,148332.36,1554
Stephen Dorrell,Charnwood CC,,9123.64,,,,117911.74,,,,0,,,,0,,127035.38,,,19899.59,,uncapped,3893,uncapped,0,23792.59,150827.97,336
Stephen Gilbert,St Austell and Newquay CC,,21396.91,,,,122697.33,,,,0,,,,0,,144094.24,,,21198.45,,uncapped,15353.98,uncapped,5781.6,42334.03,186428.27,4101
Stephen Hammond,Wimbledon BC,,8351.11,,,,98775.85,,,,0,,,,0,,107126.96,,,0,,uncapped,1431.3,uncapped,161.51,1592.81,108719.77,1585
Stephen Hepburn,Jarrow BC,,18223.57,,,,108095.88,,,,0,,,,0,,126319.45,,,19378.88,,uncapped,12050.1,uncapped,0,31428.98,157748.43,520
Stephen Lloyd,Eastbourne BC,,21559.11,,,,112116.13,,,,0,,,,0,,133675.24,,,11629,,uncapped,3494.9,uncapped,0,15123.9,148799.14,3968
Stephen McCabe,"Birmingham, Selly Oak BC",,16616.94,,,,96814.21,,,,0,,,,0,,113431.15,,,1520.33,,uncapped,4942.55,uncapped,0,6462.88,119894.03,298
Stephen McPartland,Stevenage CC,,16972.25,,,,89503.47,,,,0,,,,0,,106475.72,,,0,,uncapped,0,uncapped,0,0,106475.72,4093
Stephen Metcalfe,South Basildon and East Thurrock BC,,17414.78,,,,102720.9,,,,0,,,,0,,120135.68,,,0,,uncapped,413.75,uncapped,0,413.75,120549.43,4092
Stephen Mosley,City of Chester CC,,10602.58,,,,77425.92,,,,0,,,,0,,88028.5,,,11964.85,,uncapped,5368.7,uncapped,0,17333.55,105362.05,3954
Stephen O'Brien,Eddisbury CC,,14777.49,,,,87690.16,,,,0,,,,0,,102467.65,,,9342.2,,uncapped,11199.22,uncapped,0,20541.42,123009.07,427
Stephen Phillips,Sleaford and North Hykeham CC,,8168.74,,,,64764.46,,,,0,,,,0,,72933.2,,,2923.71,,uncapped,6690.55,uncapped,0,9614.26,82547.46,4054
Stephen Pound,Ealing North BC,,9534.28,,,,99026.96,,,,0,,,,0,,108561.24,,,0,,uncapped,1309.05,uncapped,0,1309.05,109870.29,161
Stephen Timms,East Ham BC,,14513.72,,,,115588.01,,,,0,,,,0,,130101.73,,,0,,uncapped,309.3,uncapped,0,309.3,130411.03,163
Stephen Twigg,"Liverpool, West Derby BC",,19310.44,,,,113851.72,,,,0,,,,0,,133162.16,,,8897.65,,uncapped,9222.75,uncapped,0,18120.4,151282.56,167
Stephen Williams,Bristol West BC,,20250.75,,,,112057.65,,,,0,,,,0,,132308.4,,,15969.23,,uncapped,6263.95,uncapped,0,22233.18,154541.58,1492
Steve Baker,Wycombe CC,,12773.51,,,,104551.71,,,,0,,,,0,,117325.22,,,0,,uncapped,276.71,uncapped,0,276.71,117601.93,4064
Steve Brine,Winchester CC,,16195.08,,,,106197.51,,,,0,,,,0,,122392.59,,,18108.31,,uncapped,3341.85,uncapped,0,21450.16,143842.75,4067
Steve Rotheram,"Liverpool, Walton BC",,16818.88,,,,100599.26,,,,0,,,,0,,117418.14,,,22040.61,,uncapped,5811.9,uncapped,0,27852.51,145270.65,4035
Steve Webb,Thornbury and Yate CC,,17613.43,,,,109848.28,,,,0,,,,0,,127461.71,,,17426.2,,uncapped,5134.03,uncapped,0,22560.23,150021.94,220
Stewart Hosie,Dundee East BC,,16973.31,,,,102139.4,,,,0,,,,0,,119112.71,,,11981.36,,uncapped,22464.08,uncapped,0,34445.44,153558.15,1514
Stewart Jackson,Peterborough BC,,11139.05,,,,81398.24,,,,0,,,,0,,92537.29,,,17196.89,,uncapped,6600.35,uncapped,0,23797.24,116334.53,1551
Stuart Andrew,Pudsey BC,,17594.6,,,,115278.71,,,,0,,,,0,,132873.31,,,17238.71,,uncapped,4435.05,uncapped,0,21673.76,154547.07,4032
Stuart Bell,Middlesbrough BC,,3418.19,,,,103307.14,,,,0,,,,0,,106725.33,,,19096.68,,uncapped,8345,uncapped,0,27441.68,134167.01,501
Susan Jones,Clwyd South CC,,12911.48,,,,99431.63,,,,0,,,,0,,112343.11,,,15738.45,,uncapped,2711.7,uncapped,0,18450.15,130793.26,3956
Sylvia Hermon,North Down,,12107,,,,110223.65,,,,0,,,,0,,122330.65,,,2733.8,,uncapped,14576.96,uncapped,0,17310.76,139641.41,1437
Teresa Pearce,Erith and Thamesmead BC,,12925.99,,,,102165.65,,,,0,,,,0,,115091.64,,,0,,uncapped,295.65,uncapped,0,295.65,115387.29,4003
Tessa Jowell,Dulwich and West Norwood BC,,22333.91,,,,136862.72,,,,0,,,,0,,159196.63,,,0,,uncapped,1705.55,uncapped,127,1832.55,161029.18,159
Tessa Munt,Wells CC,,20921.33,,,,114939.87,,,,0,,,,0,,135861.2,,,20363.02,,uncapped,9729.1,uncapped,0,30092.12,165953.32,4089
Theresa May,Maidenhead CC,,2193.57,,,,105025.56,,,,0,,,,0,,107219.13,,,0,,uncapped,0,uncapped,0,0,107219.13,8
Theresa Villiers,Chipping Barnet BC,,13966.03,,,,102059.89,,,,0,,,,0,,116025.92,,,0,,uncapped,0,uncapped,0,0,116025.92,1500
Therese Coffey,Suffolk Coastal CC,,11542.31,,,,91792.32,,,,0,,,,0,,103334.63,,,19002.78,,uncapped,7638.63,uncapped,75.9,26717.31,130051.94,4098
Thomas Docherty,Dunfermline and West Fife CC,,19456.03,,,,113536.86,,,,0,,,,0,,132992.89,,,22456.22,,uncapped,20291.75,uncapped,0,42747.97,175740.86,3962
Tim Farron,Westmorland and Lonsdale CC,,19843.91,,,,111004.89,,,,0,,,,0,,130848.8,,,20006.16,,uncapped,7908.42,uncapped,0,27914.58,158763.38,1591
Tim Loughton,East Worthing and Shoreham CC,,19915.93,,,,107106.41,,,,0,,,,0,,127022.34,,,21385,,uncapped,5874.93,uncapped,0,27259.93,154282.27,114
Tim Yeo,South Suffolk CC,,14146.13,,,,112414.91,,,,0,,,,0,,126561.04,,,17498.46,,uncapped,5112.55,uncapped,0,22611.01,149172.05,136
Tobias Ellwood,Bournemouth East BC,,16419.39,,,,104447.18,,,,0,,,,0,,120866.57,,,23828.71,,uncapped,9154.51,uncapped,0,32983.22,153849.79,1487
Toby Perkins,Chesterfield BC,,15575.46,,,,109200.83,,,,0,,,,0,,124776.29,,,17012.15,,uncapped,8794.96,uncapped,266.5,26073.61,150849.9,3952
Tom Blenkinsop,Middlesbrough South and East Cleveland CC,,10981.01,,,,108055.81,,,,0,,,,0,,119036.82,,,8500,,uncapped,2290.8,uncapped,0,10790.8,129827.62,4037
Tom Brake,Carshalton and Wallington BC,,21666.72,,,,115563.13,,,,0,,,,0,,137229.85,,,0,,uncapped,39.65,uncapped,0,39.65,137269.5,151
Tom Clarke,"Coatbridge, Chryston and Bellshill BC",,15183.18,,,,109720.32,,,,0,,,,0,,124903.5,,,13156.7,,uncapped,18119.48,uncapped,0,31276.18,156179.68,583
Tom Greatrex,Rutherglen and Hamilton West BC,,15040.36,,,,105654.8,,,,0,,,,0,,120695.16,,,14107.86,,uncapped,14814.55,uncapped,0,28922.41,149617.57,4047
Tom Harris,Glasgow South BC,,18734.04,,,,114495,,,,0,,,,0,,133229.04,,,23083.86,,uncapped,16822.93,uncapped,110,40016.79,173245.83,1418
